,PCA1,PCA2,PCA3,PCA4,PCA5
U87,114.40301984162114,-26.5132214002052,23.052569928484,-50.419700564691304,1.941630586220472
U87,113.93667523142321,-27.73167503939971,21.610571572260874,-47.5195695845034,-1.4793227634011183
U251,54.51698134951057,93.43844153025314,-34.258155560990275,21.07762494735279,2.074110620976215
U251,57.42595453783169,95.82244448990109,-30.926091497628114,14.620226785498804,-2.7967783591553035
hG008,-110.24956070298992,19.278180683525726,74.62226887410247,6.010843391274601,39.23558298368253
hG008,-110.11030873838025,16.4466372044335,75.3220096594339,6.280869054513634,-38.99093788704158
hG020,-108.20897595945526,-40.26620363391764,-70.50961534798945,-13.400386797345655,5.984287430886525
hG020,-105.76366086167528,-37.26715059343193,-64.9402091989138,-15.714098666672133,-6.18202780022127
SF126,94.04987530211422,-93.20745324115894,6.026651571240483,79.06419143457276,0.21345518805352887
